id,age,gender,religion,religion_type,hear_from_you,created_on,ip_address,work_type,work_place
1,,,,,,2024-06-03 21:14:14.342562,127.0.0.1,,
2,,,,,,2024-06-18 21:38:32.538646,127.0.0.1,,
3,39,זכר,,,,2024-06-18 22:10:26.471266,188.64.206.70,,
4,21,זכר,יהודי,חילוני,,2024-06-18 22:12:56.440629,188.64.206.171,תיירות,
5,47,נקבה,יהודי,חילוני,,2024-06-19 14:55:49.729771,176.12.189.224,אדריכלות ותכנון,
6,25,,,,,2024-06-21 22:22:18.529206,87.68.156.128,,
7,25,,,,,2024-06-21 22:24:09.304416,87.68.156.128,,
8,,,,,,2024-06-21 22:52:58.137431,87.68.156.128,,
9,40,נקבה,יהודי,חילוני,יופי של סקר מי הכין אותו?,2024-06-22 13:24:18.257513,188.64.206.231,אדריכלות ותכנון,
10,55,זכר,יהודי,חילוני,"יופי של סקר, מדהים",2024-06-22 15:31:27.616161,188.64.206.231,סטודנט,
11,50,נקבה,נוצרי,חילוני,,2024-06-22 21:47:03.637958,188.64.206.231,אדריכלות ותכנון,
12,40,נקבה,נוצרי,דתי,יופי של סקר,2024-06-24 11:19:37.614805,87.71.153.215,חינוך,כן
13,55,נקבה,נוצרי,מסורתי,יופי של סקר,2024-06-24 11:41:44.645803,87.71.153.215,אחר,כן
14,10,זכר,מוסלמי,חרדי,"יופי של סקר, מדהים",2024-06-25 00:06:59.354306,87.71.153.215,תיירות,כן
15,80,זכר,נוצרי,חרדי,,2024-06-25 00:16:56.408046,87.71.153.215,סטודנט,כן
16,66,נקבה,יהודי,חרדי,,2024-06-25 02:13:04.366864,87.71.153.215,פעיל סביבתי/אורבני,כן
17,14,אחר,מוסלמי,חרדי,,2024-06-25 02:15:12.273108,87.71.153.215,סטודנט,כן
18,20,,נוצרי,,,2024-06-26 13:21:32.495110,207.232.14.60,מדריך טיולים,
19,52,נקבה,יהודי,מסורתי,,2024-07-01 20:49:31.257958,109.81.165.78,אדריכלות ותכנון,כן
